Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,TIME_DETAIL,Value
2011,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,U,PT,2019-2020,80.9
2012,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,U,PT,2019-2020,87.0
2013,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,U,PT,2019-2020,94.3
2014,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,U,PT,2019-2020,91.8
2015,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,U,PT,2019-2020,94.3
2016,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,U,PT,2019-2020,93.4
2017,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,U,PT,2019-2020,96.6
2019,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,U,PT,2019-2020,96.8
1993,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,R,PT,2019-2020,3.0
1996,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,R,PT,2019-2020,5.3
1997,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,R,PT,2019-2020,2.2
1999,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,R,PT,2019-2020,2.4
2004,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,R,PT,2019-2020,2.3
2007,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,R,PT,2019-2020,10.3
2008,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,R,PT,2019-2020,11.3
2009,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,R,PT,2019-2020,11.5
2010,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,R,PT,2019-2020,18.8
2011,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,R,PT,2019-2020,24.0
2012,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,R,PT,2019-2020,26.8
2013,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,R,PT,2019-2020,37.9
2014,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,R,PT,2019-2020,48.3
2015,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,R,PT,2019-2020,63.3
2016,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,R,PT,2019-2020,76.4
2017,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,R,PT,2019-2020,82.4
2019,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,EG_ACS_ELEC,KH,R,PT,2019-2020,79.1
