Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,TIME_DETAIL,Value
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,U,ISCED11_3,PT,2019-2020,1.03
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,U,ISCED11_3,PT,2019-2020,1.03
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,U,ISCED11_3,PT,2019-2020,1.07
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,U,ISCED11_3,PT,2019-2020,1.13
2008,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,R,ISCED11_3,PT,2019-2020,0.72
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,R,ISCED11_3,PT,2019-2020,0.83
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,R,ISCED11_3,PT,2019-2020,0.84
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,R,ISCED11_3,PT,2019-2020,0.91
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,R,ISCED11_3,PT,2019-2020,0.95
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,R,ISCED11_3,PT,2019-2020,0.98
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,R,ISCED11_3,PT,2019-2020,1.0
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,R,ISCED11_3,PT,2019-2020,1.11
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,R,ISCED11_3,PT,2019-2020,1.17
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,R,ISCED11_3,PT,2019-2020,1.24
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,R,ISCED11_3,PT,2019-2020,1.3
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH,R,ISCED11_3,PT,2019-2020,1.37
2008,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH01,,ISCED11_3,PT,2019-2020,0.87
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH01,,ISCED11_3,PT,2019-2020,0.91
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH01,,ISCED11_3,PT,2019-2020,0.97
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH01,,ISCED11_3,PT,2019-2020,0.99
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH01,,ISCED11_3,PT,2019-2020,1.05
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH01,,ISCED11_3,PT,2019-2020,1.08
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH01,,ISCED11_3,PT,2019-2020,1.1
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH01,,ISCED11_3,PT,2019-2020,1.17
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH01,,ISCED11_3,PT,2019-2020,1.19
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH01,,ISCED11_3,PT,2019-2020,1.24
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH01,,ISCED11_3,PT,2019-2020,1.32
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH01,,ISCED11_3,PT,2019-2020,1.41
2008,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH02,,ISCED11_3,PT,2019-2020,0.85
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH02,,ISCED11_3,PT,2019-2020,0.97
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH02,,ISCED11_3,PT,2019-2020,0.93
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH02,,ISCED11_3,PT,2019-2020,1.03
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH02,,ISCED11_3,PT,2019-2020,1.04
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH02,,ISCED11_3,PT,2019-2020,1.11
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH02,,ISCED11_3,PT,2019-2020,1.2
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH02,,ISCED11_3,PT,2019-2020,1.28
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH02,,ISCED11_3,PT,2019-2020,1.29
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH02,,ISCED11_3,PT,2019-2020,1.32
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH02,,ISCED11_3,PT,2019-2020,1.4
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH02,,ISCED11_3,PT,2019-2020,1.38
2008,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH03,,ISCED11_3,PT,2019-2020,0.86
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH03,,ISCED11_3,PT,2019-2020,0.96
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH03,,ISCED11_3,PT,2019-2020,0.99
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH03,,ISCED11_3,PT,2019-2020,1.01
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH03,,ISCED11_3,PT,2019-2020,1.06
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH03,,ISCED11_3,PT,2019-2020,1.1
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH03,,ISCED11_3,PT,2019-2020,1.2
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH03,,ISCED11_3,PT,2019-2020,1.24
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH03,,ISCED11_3,PT,2019-2020,1.27
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH03,,ISCED11_3,PT,2019-2020,1.36
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH03,,ISCED11_3,PT,2019-2020,1.43
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH03,,ISCED11_3,PT,2019-2020,1.48
2008,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH04,,ISCED11_3,PT,2019-2020,0.78
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH04,,ISCED11_3,PT,2019-2020,0.88
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH04,,ISCED11_3,PT,2019-2020,0.89
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH04,,ISCED11_3,PT,2019-2020,0.97
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH04,,ISCED11_3,PT,2019-2020,0.99
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH04,,ISCED11_3,PT,2019-2020,1.04
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH04,,ISCED11_3,PT,2019-2020,1.1
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH04,,ISCED11_3,PT,2019-2020,1.2
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH04,,ISCED11_3,PT,2019-2020,1.25
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH04,,ISCED11_3,PT,2019-2020,1.31
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH04,,ISCED11_3,PT,2019-2020,1.39
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH04,,ISCED11_3,PT,2019-2020,1.44
2008,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH05,,ISCED11_3,PT,2019-2020,0.53
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH05,,ISCED11_3,PT,2019-2020,0.69
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH05,,ISCED11_3,PT,2019-2020,0.66
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH05,,ISCED11_3,PT,2019-2020,0.73
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH05,,ISCED11_3,PT,2019-2020,0.81
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH05,,ISCED11_3,PT,2019-2020,0.82
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH05,,ISCED11_3,PT,2019-2020,0.9
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH05,,ISCED11_3,PT,2019-2020,0.96
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH05,,ISCED11_3,PT,2019-2020,1.04
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH05,,ISCED11_3,PT,2019-2020,1.12
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH05,,ISCED11_3,PT,2019-2020,1.18
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH05,,ISCED11_3,PT,2019-2020,1.29
2008,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH06,,ISCED11_3,PT,2019-2020,0.83
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH06,,ISCED11_3,PT,2019-2020,0.91
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH06,,ISCED11_3,PT,2019-2020,0.91
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH06,,ISCED11_3,PT,2019-2020,0.95
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH06,,ISCED11_3,PT,2019-2020,1.03
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH06,,ISCED11_3,PT,2019-2020,1.06
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH06,,ISCED11_3,PT,2019-2020,1.1
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH06,,ISCED11_3,PT,2019-2020,1.2
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH06,,ISCED11_3,PT,2019-2020,1.3
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH06,,ISCED11_3,PT,2019-2020,1.38
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH06,,ISCED11_3,PT,2019-2020,1.41
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH06,,ISCED11_3,PT,2019-2020,1.47
2008,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH07,,ISCED11_3,PT,2019-2020,0.82
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH07,,ISCED11_3,PT,2019-2020,0.86
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH07,,ISCED11_3,PT,2019-2020,0.99
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH07,,ISCED11_3,PT,2019-2020,0.9
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH07,,ISCED11_3,PT,2019-2020,0.94
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH07,,ISCED11_3,PT,2019-2020,0.96
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH07,,ISCED11_3,PT,2019-2020,1.0
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH07,,ISCED11_3,PT,2019-2020,1.05
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH07,,ISCED11_3,PT,2019-2020,1.1
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH07,,ISCED11_3,PT,2019-2020,1.14
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH07,,ISCED11_3,PT,2019-2020,1.17
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH07,,ISCED11_3,PT,2019-2020,1.24
2008,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH08,,ISCED11_3,PT,2019-2020,0.77
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH08,,ISCED11_3,PT,2019-2020,0.83
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH08,,ISCED11_3,PT,2019-2020,0.87
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH08,,ISCED11_3,PT,2019-2020,0.92
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH08,,ISCED11_3,PT,2019-2020,0.93
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH08,,ISCED11_3,PT,2019-2020,0.99
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH08,,ISCED11_3,PT,2019-2020,1.0
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH08,,ISCED11_3,PT,2019-2020,1.1
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH08,,ISCED11_3,PT,2019-2020,1.18
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH08,,ISCED11_3,PT,2019-2020,1.27
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH08,,ISCED11_3,PT,2019-2020,1.36
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH08,,ISCED11_3,PT,2019-2020,1.39
2008,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH23,,ISCED11_3,PT,2019-2020,0.82
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH23,,ISCED11_3,PT,2019-2020,0.94
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH23,,ISCED11_3,PT,2019-2020,1.02
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH23,,ISCED11_3,PT,2019-2020,1.05
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH23,,ISCED11_3,PT,2019-2020,1.06
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH23,,ISCED11_3,PT,2019-2020,1.23
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH23,,ISCED11_3,PT,2019-2020,1.3
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH23,,ISCED11_3,PT,2019-2020,1.22
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH23,,ISCED11_3,PT,2019-2020,1.28
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH23,,ISCED11_3,PT,2019-2020,1.24
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH23,,ISCED11_3,PT,2019-2020,1.28
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH23,,ISCED11_3,PT,2019-2020,1.21
2008,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH09,,ISCED11_3,PT,2019-2020,0.73
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH09,,ISCED11_3,PT,2019-2020,0.71
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH09,,ISCED11_3,PT,2019-2020,0.82
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH09,,ISCED11_3,PT,2019-2020,0.87
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH09,,ISCED11_3,PT,2019-2020,0.93
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH09,,ISCED11_3,PT,2019-2020,0.95
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH09,,ISCED11_3,PT,2019-2020,1.0
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH09,,ISCED11_3,PT,2019-2020,0.97
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH09,,ISCED11_3,PT,2019-2020,0.95
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH09,,ISCED11_3,PT,2019-2020,0.94
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH09,,ISCED11_3,PT,2019-2020,0.93
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH09,,ISCED11_3,PT,2019-2020,1.05
2008,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH10,,ISCED11_3,PT,2019-2020,0.88
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH10,,ISCED11_3,PT,2019-2020,0.96
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH10,,ISCED11_3,PT,2019-2020,0.98
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH10,,ISCED11_3,PT,2019-2020,1.02
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH10,,ISCED11_3,PT,2019-2020,1.08
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH10,,ISCED11_3,PT,2019-2020,1.12
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH10,,ISCED11_3,PT,2019-2020,1.1
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH10,,ISCED11_3,PT,2019-2020,1.19
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH10,,ISCED11_3,PT,2019-2020,1.18
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH10,,ISCED11_3,PT,2019-2020,1.2
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH10,,ISCED11_3,PT,2019-2020,1.27
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH10,,ISCED11_3,PT,2019-2020,1.34
2008,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH11,,ISCED11_3,PT,2019-2020,0.78
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH11,,ISCED11_3,PT,2019-2020,0.71
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH11,,ISCED11_3,PT,2019-2020,0.71
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH11,,ISCED11_3,PT,2019-2020,0.74
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH11,,ISCED11_3,PT,2019-2020,0.77
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH11,,ISCED11_3,PT,2019-2020,0.8
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH11,,ISCED11_3,PT,2019-2020,0.9
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH11,,ISCED11_3,PT,2019-2020,0.98
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH11,,ISCED11_3,PT,2019-2020,1.11
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH11,,ISCED11_3,PT,2019-2020,1.19
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH11,,ISCED11_3,PT,2019-2020,1.22
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH11,,ISCED11_3,PT,2019-2020,1.27
2008,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH22,,ISCED11_3,PT,2019-2020,0.56
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH22,,ISCED11_3,PT,2019-2020,0.7
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH22,,ISCED11_3,PT,2019-2020,0.85
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH22,,ISCED11_3,PT,2019-2020,0.84
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH22,,ISCED11_3,PT,2019-2020,0.88
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH22,,ISCED11_3,PT,2019-2020,0.86
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH22,,ISCED11_3,PT,2019-2020,1.0
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH22,,ISCED11_3,PT,2019-2020,1.07
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH22,,ISCED11_3,PT,2019-2020,1.09
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH22,,ISCED11_3,PT,2019-2020,1.1
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH22,,ISCED11_3,PT,2019-2020,1.13
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH22,,ISCED11_3,PT,2019-2020,1.21
2008,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH24,,ISCED11_3,PT,2019-2020,0.72
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH24,,ISCED11_3,PT,2019-2020,0.76
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH24,,ISCED11_3,PT,2019-2020,0.89
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH24,,ISCED11_3,PT,2019-2020,0.9
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH24,,ISCED11_3,PT,2019-2020,0.95
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH24,,ISCED11_3,PT,2019-2020,0.98
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH24,,ISCED11_3,PT,2019-2020,1.1
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH24,,ISCED11_3,PT,2019-2020,1.04
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH24,,ISCED11_3,PT,2019-2020,1.05
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH24,,ISCED11_3,PT,2019-2020,1.16
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH24,,ISCED11_3,PT,2019-2020,1.24
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH24,,ISCED11_3,PT,2019-2020,1.29
2008,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040502_01,KH12,,ISCED11_3,PT,2019-2020,0.76
