Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,UNIT_MEASURE,Time period details,Value
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,,under 5 years old,,,Per 100 live births,2014,35.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,,under 5 years old,,Quintile 1 (poorest),Per 100 live births,2014,127.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,,under 5 years old,,Quintile 1 (poorest),Per 100 live births,2014,90.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,,under 5 years old,,Quintile 1 (poorest),Per 100 live births,2014,76.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,,under 5 years old,,Quintile 2,Per 100 live births,2014,129.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,,under 5 years old,,Quintile 2,Per 100 live births,2014,83.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,,under 5 years old,,Quintile 2,Per 100 live births,2014,56.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,,under 5 years old,,Quintile 3,Per 100 live births,2014,114.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,,under 5 years old,,Quintile 3,Per 100 live births,2014,68.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,,under 5 years old,,Quintile 3,Per 100 live births,2014,41.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,,under 5 years old,,Quintile 4,Per 100 live births,2014,92.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,,under 5 years old,,Quintile 4,Per 100 live births,2014,49.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,,under 5 years old,,Quintile 4,Per 100 live births,2014,33.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,,under 5 years old,,Quintile 5 (richest),Per 100 live births,2014,43.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,,under 5 years old,,Quintile 5 (richest),Per 100 live births,2014,30.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,,under 5 years old,,Quintile 5 (richest),Per 100 live births,2014,19.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,,under 5 years old,Urban,,Per 100 live births,2014,92.6
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,,under 5 years old,Urban,,Per 100 live births,2014,76.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,,under 5 years old,Urban,,Per 100 live births,2014,29.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,,under 5 years old,Urban,,Per 100 live births,2014,18.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,,under 5 years old,Rural,,Per 100 live births,2014,126.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,,under 5 years old,Rural,,Per 100 live births,2014,111.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,,under 5 years old,Rural,,Per 100 live births,2014,75.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Cambodia,,under 5 years old,Rural,,Per 100 live births,2014,52.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Banteay Meanchey,,under 5 years old,,,Per 100 live births,2014,107.7
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Banteay Meanchey,,under 5 years old,,,Per 100 live births,2014,96.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Banteay Meanchey,,under 5 years old,,,Per 100 live births,2014,76.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Banteay Meanchey,,under 5 years old,,,Per 100 live births,2014,32.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Kampong Cham,,under 5 years old,,,Per 100 live births,2014,133.8
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Kampong Cham,,under 5 years old,,,Per 100 live births,2014,111.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Kampong Cham,,under 5 years old,,,Per 100 live births,2014,58.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Kampong Cham,,under 5 years old,,,Per 100 live births,2014,48.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Kampong Chhnang,,under 5 years old,,,Per 100 live births,2014,160.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Kampong Chhnang,,under 5 years old,,,Per 100 live births,2014,101.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Kampong Chhnang,,under 5 years old,,,Per 100 live births,2014,97.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Kampong Chhnang,,under 5 years old,,,Per 100 live births,2014,55.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Kampong Speu,,under 5 years old,,,Per 100 live births,2014,89.5
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Kampong Speu,,under 5 years old,,,Per 100 live births,2014,122.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Kampong Speu,,under 5 years old,,,Per 100 live births,2014,73.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Kampong Speu,,under 5 years old,,,Per 100 live births,2014,31.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Kampong Thom,,under 5 years old,,,Per 100 live births,2014,98.8
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Kampong Thom,,under 5 years old,,,Per 100 live births,2014,106.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Kampong Thom,,under 5 years old,,,Per 100 live births,2014,67.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Kampong Thom,,under 5 years old,,,Per 100 live births,2014,60.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Kandal,,under 5 years old,,,Per 100 live births,2014,108.2
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Kandal,,under 5 years old,,,Per 100 live births,2014,101.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Kandal,,under 5 years old,,,Per 100 live births,2014,69.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Kandal,,under 5 years old,,,Per 100 live births,2014,40.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Koh Kong,,under 5 years old,,,Per 100 live births,2000,90.8
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Kratie,,under 5 years old,,,Per 100 live births,2014,116.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Kratie,,under 5 years old,,,Per 100 live births,2014,86.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Kratie,,under 5 years old,,,Per 100 live births,2014,80.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Oddar Meanchey,,under 5 years old,,,Per 100 live births,2014,110.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Oddar Meanchey,,under 5 years old,,,Per 100 live births,2014,47.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Oddar Meanchey,,under 5 years old,,,Per 100 live births,2014,41.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Phnom Penh,,under 5 years old,,,Per 100 live births,2014,49.7
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Phnom Penh,,under 5 years old,,,Per 100 live births,2014,52.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Phnom Penh,,under 5 years old,,,Per 100 live births,2014,18.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Phnom Penh,,under 5 years old,,,Per 100 live births,2014,23.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Prey Veng,,under 5 years old,,,Per 100 live births,2014,151.3
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Prey Veng,,under 5 years old,,,Per 100 live births,2014,143.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Prey Veng,,under 5 years old,,,Per 100 live births,2014,74.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Prey Veng,,under 5 years old,,,Per 100 live births,2014,75.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Pursat,,under 5 years old,,,Per 100 live births,2014,172.7
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Pursat,,under 5 years old,,,Per 100 live births,2014,106.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Pursat,,under 5 years old,,,Per 100 live births,2014,57.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Pursat,,under 5 years old,,,Per 100 live births,2014,36.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Siemreap,,under 5 years old,,,Per 100 live births,2014,94.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Siemreap,,under 5 years old,,,Per 100 live births,2014,60.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Siemreap,,under 5 years old,,,Per 100 live births,2014,56.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Svay Rieng,,under 5 years old,,,Per 100 live births,2014,129.6
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Svay Rieng,,under 5 years old,,,Per 100 live births,2014,110.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Svay Rieng,,under 5 years old,,,Per 100 live births,2014,93.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Svay Rieng,,under 5 years old,,,Per 100 live births,2014,63.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Takeo,,under 5 years old,,,Per 100 live births,2014,118.5
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Takeo,,under 5 years old,,,Per 100 live births,2014,102.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Takeo,,under 5 years old,,,Per 100 live births,2014,84.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Takeo,,under 5 years old,,,Per 100 live births,2014,31.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Battambang and Pailin,,under 5 years old,,,Per 100 live births,2014,126.6
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Battambang and Pailin,,under 5 years old,,,Per 100 live births,2014,116.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Battambang and Pailin,,under 5 years old,,,Per 100 live births,2014,54.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Battambang and Pailin,,under 5 years old,,,Per 100 live births,2014,37.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),"Kampot, Preah Sihanouk and Kep",,under 5 years old,,,Per 100 live births,2000,124.4
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),"Kratie, Preah Vihear and Stung Treng",,under 5 years old,,,Per 100 live births,2000,119.5
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Mondul Kiri and Ratanak Kiri,,under 5 years old,,,Per 100 live births,2014,229.3
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Mondul Kiri and Ratanak Kiri,,under 5 years old,,,Per 100 live births,2014,165.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Mondul Kiri and Ratanak Kiri,,under 5 years old,,,Per 100 live births,2014,106.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Mondul Kiri and Ratanak Kiri,,under 5 years old,,,Per 100 live births,2014,80.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Otdar Meanchey and Siem Reap,,under 5 years old,,,Per 100 live births,2000,124.6
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Kampot and Kep,,under 5 years old,,,Per 100 live births,2014,83.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Kampot and Kep,,under 5 years old,,,Per 100 live births,2014,73.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Kampot and Kep,,under 5 years old,,,Per 100 live births,2014,44.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Koh Kong and Preah Sihanouk,,under 5 years old,,,Per 100 live births,2014,104.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Koh Kong and Preah Sihanouk,,under 5 years old,,,Per 100 live births,2014,63.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Koh Kong and Preah Sihanouk,,under 5 years old,,,Per 100 live births,2014,42.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Preah Vihear and Stung Treng,,under 5 years old,,,Per 100 live births,2014,146.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Preah Vihear and Stung Treng,,under 5 years old,,,Per 100 live births,2014,118.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.1 Under-five mortality rate (U5MR),Preah Vihear and Stung Treng,,under 5 years old,,,Per 100 live births,2014,79.0
