Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,COMPOSITE_BREAKDOWN,UNIT_MEASURE,TIME_DETAIL,Value
2013,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PUBTAP,PT,2019-2020,0.0
2014,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PUBTAP,PT,2019-2020,0.1
2015,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PUBTAP,PT,2019-2020,0.6
2016,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PUBTAP,PT,2019-2020,0.3
2017,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PUBTAP,PT,2019-2020,1.0
2019,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PUBTAP,PT,2019-2020,0.95
2009,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PIPEWELL,PT,2019-2020,26.0
2010,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PIPEWELL,PT,2019-2020,26.2
2011,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PIPEWELL,PT,2019-2020,26.5
2012,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PIPEWELL,PT,2019-2020,24.9
2013,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PIPEWELL,PT,2019-2020,26.7
2014,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PIPEWELL,PT,2019-2020,25.2
2015,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PIPEWELL,PT,2019-2020,28.0
2016,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PIPEWELL,PT,2019-2020,26.0
2017,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PIPEWELL,PT,2019-2020,29.0
2019,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_PIPEWELL,PT,2019-2020,30.1
2009,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_DUGWELL,PT,2019-2020,6.9
2010,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_DUGWELL,PT,2019-2020,7.4
2011,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_DUGWELL,PT,2019-2020,7.5
2012,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_DUGWELL,PT,2019-2020,5.5
2013,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_DUGWELL,PT,2019-2020,4.8
2014,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_DUGWELL,PT,2019-2020,7.0
2015,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_DUGWELL,PT,2019-2020,6.4
2016,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_DUGWELL,PT,2019-2020,4.8
2017,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_DUGWELL,PT,2019-2020,5.3
2019,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_DUGWELL,PT,2019-2020,4.16
2009,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_RAINCOLL,PT,2019-2020,0.3
2010,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_RAINCOLL,PT,2019-2020,0.3
2011,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_RAINCOLL,PT,2019-2020,0.2
2012,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_RAINCOLL,PT,2019-2020,0.3
2013,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_RAINCOLL,PT,2019-2020,0.1
2014,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_RAINCOLL,PT,2019-2020,0.5
2015,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_RAINCOLL,PT,2019-2020,0.1
2016,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_RAINCOLL,PT,2019-2020,0.5
2017,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_RAINCOLL,PT,2019-2020,0.3
2019,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,,_L_TWS_RAINCOLL,PT,2019-2020,5.81
1993,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,U,,PT,2019-2020,23.5
1996,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,U,,PT,2019-2020,41.9
1997,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,U,,PT,2019-2020,52.9
1999,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,U,,PT,2019-2020,57.2
2004,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,U,,PT,2019-2020,61.6
2007,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,U,,PT,2019-2020,61.5
2008,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,U,,PT,2019-2020,82.3
2009,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,U,,PT,2019-2020,78.2
2010,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,U,,PT,2019-2020,79.0
2011,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,U,,PT,2019-2020,81.3
2012,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,U,,PT,2019-2020,81.5
2013,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,U,,PT,2019-2020,83.1
2014,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,U,,PT,2019-2020,80.7
2015,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,U,,PT,2019-2020,84.2
2016,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,U,,PT,2019-2020,88.8
2017,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,U,,PT,2019-2020,87.7
2019,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,U,,PT,2019-2020,88.01
1993,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,R,,PT,2019-2020,2.9
1996,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,R,,PT,2019-2020,23.4
1997,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,R,,PT,2019-2020,24.5
1999,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,R,,PT,2019-2020,45.4
2004,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,R,,PT,2019-2020,46.6
2007,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,R,,PT,2019-2020,48.5
2008,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,R,,PT,2019-2020,49.0
2009,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,R,,PT,2019-2020,42.2
2010,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,R,,PT,2019-2020,41.1
2011,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,R,,PT,2019-2020,43.2
2012,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,R,,PT,2019-2020,41.9
2013,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,R,,PT,2019-2020,46.6
2014,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,R,,PT,2019-2020,47.4
2015,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,R,,PT,2019-2020,52.4
2016,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,R,,PT,2019-2020,53.9
2017,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,R,,PT,2019-2020,58.7
2019,A,0,C,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",A,N,SH_H2O_SAFE,KH,R,,PT,2019-2020,74.69
