Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,UNIT_MEASURE,Time period details,Value
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,,under 5 years old,Rural,,Percent,2014,10.8
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Cambodia,,under 5 years old,Rural,,Percent,2014,9.9
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Banteay Meanchey,,under 5 years old,,,Percent,2014,19.5
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Banteay Meanchey,,under 5 years old,,,Percent,2014,5.5
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Banteay Meanchey,,under 5 years old,,,Percent,2014,7.3
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Banteay Meanchey,,under 5 years old,,,Percent,2014,7.8
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Cham,,under 5 years old,,,Percent,2014,15.6
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Cham,,under 5 years old,,,Percent,2014,6.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Cham,,under 5 years old,,,Percent,2014,11.8
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Cham,,under 5 years old,,,Percent,2014,8.1
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Chhnang,,under 5 years old,,,Percent,2014,9.5
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Chhnang,,under 5 years old,,,Percent,2014,4.6
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Chhnang,,under 5 years old,,,Percent,2014,11.4
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Chhnang,,under 5 years old,,,Percent,2014,11.2
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Speu,,under 5 years old,,,Percent,2014,16.9
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Speu,,under 5 years old,,,Percent,2014,7.6
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Speu,,under 5 years old,,,Percent,2014,10.2
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Speu,,under 5 years old,,,Percent,2014,11.5
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Thom,,under 5 years old,,,Percent,2014,24.5
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Thom,,under 5 years old,,,Percent,2014,3.4
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Thom,,under 5 years old,,,Percent,2014,11.5
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Thom,,under 5 years old,,,Percent,2014,13.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kandal,,under 5 years old,,,Percent,2014,11.8
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kandal,,under 5 years old,,,Percent,2014,11.5
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kandal,,under 5 years old,,,Percent,2014,9.9
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kandal,,under 5 years old,,,Percent,2014,9.2
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Koh Kong,,under 5 years old,,,Percent,2000,14.7
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kratie,,under 5 years old,,,Percent,2014,4.2
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kratie,,under 5 years old,,,Percent,2014,7.1
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kratie,,under 5 years old,,,Percent,2014,6.5
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Oddar Meanchey,,under 5 years old,,,Percent,2014,10.3
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Oddar Meanchey,,under 5 years old,,,Percent,2014,17.6
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Oddar Meanchey,,under 5 years old,,,Percent,2014,15.1
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Phnom Penh,,under 5 years old,,,Percent,2014,18.3
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Phnom Penh,,under 5 years old,,,Percent,2014,5.5
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Phnom Penh,,under 5 years old,,,Percent,2014,11.2
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Phnom Penh,,under 5 years old,,,Percent,2014,8.4
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Prey Veng,,under 5 years old,,,Percent,2014,15.1
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Prey Veng,,under 5 years old,,,Percent,2014,11.3
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Prey Veng,,under 5 years old,,,Percent,2014,10.9
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Prey Veng,,under 5 years old,,,Percent,2014,8.6
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Pursat,,under 5 years old,,,Percent,2014,13.4
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Pursat,,under 5 years old,,,Percent,2014,17.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Pursat,,under 5 years old,,,Percent,2014,13.3
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Pursat,,under 5 years old,,,Percent,2014,12.3
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Siemreap,,under 5 years old,,,Percent,2014,6.3
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Siemreap,,under 5 years old,,,Percent,2014,12.3
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Siemreap,,under 5 years old,,,Percent,2014,9.5
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Svay Rieng,,under 5 years old,,,Percent,2014,13.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Svay Rieng,,under 5 years old,,,Percent,2014,7.8
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Svay Rieng,,under 5 years old,,,Percent,2014,12.2
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Svay Rieng,,under 5 years old,,,Percent,2014,7.6
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Takeo,,under 5 years old,,,Percent,2014,17.2
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Takeo,,under 5 years old,,,Percent,2014,7.6
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Takeo,,under 5 years old,,,Percent,2014,9.5
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Takeo,,under 5 years old,,,Percent,2014,14.6
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Battambang and Pailin,,under 5 years old,,,Percent,2014,21.1
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Battambang and Pailin,,under 5 years old,,,Percent,2014,5.6
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Battambang and Pailin,,under 5 years old,,,Percent,2014,14.4
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Battambang and Pailin,,under 5 years old,,,Percent,2014,7.9
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,"Kampot, Preah Sihanouk and Kep",,under 5 years old,,,Percent,2000,9.6
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,"Kratie, Preah Vihear and Stung Treng",,under 5 years old,,,Percent,2000,10.9
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Mondul Kiri and Ratanak Kiri,,under 5 years old,,,Percent,2014,15.2
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Mondul Kiri and Ratanak Kiri,,under 5 years old,,,Percent,2014,7.6
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Mondul Kiri and Ratanak Kiri,,under 5 years old,,,Percent,2014,10.3
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Mondul Kiri and Ratanak Kiri,,under 5 years old,,,Percent,2014,8.2
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Otdar Meanchey and Siem Reap,,under 5 years old,,,Percent,2000,10.6
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampot and Kep,,under 5 years old,,,Percent,2014,5.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampot and Kep,,under 5 years old,,,Percent,2014,8.9
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampot and Kep,,under 5 years old,,,Percent,2014,8.2
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Koh Kong and Preah Sihanouk,,under 5 years old,,,Percent,2014,7.3
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Koh Kong and Preah Sihanouk,,under 5 years old,,,Percent,2014,9.1
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Koh Kong and Preah Sihanouk,,under 5 years old,,,Percent,2014,10.5
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Preah Vihear and Stung Treng,,under 5 years old,,,Percent,2014,9.7
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Preah Vihear and Stung Treng,,under 5 years old,,,Percent,2014,8.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Preah Vihear and Stung Treng,,under 5 years old,,,Percent,2014,13.8
