Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Time period details,Value
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Kep,Female,"Per 100,000 live births",2008,1388.13
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Koh Kong,Female,"Per 100,000 live births",2008,1113.26
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Kratie,Female,"Per 100,000 live births",2008,491.03
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Mondul Kiri,Female,"Per 100,000 live births",2008,1498.75
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Oddar Meanchey,Female,"Per 100,000 live births",2008,257.07
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Pailin,Female,"Per 100,000 live births",2008,630.63
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Phnom Penh,Female,"Per 100,000 live births",2008,298.42
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Preah Sihanouk,Female,"Per 100,000 live births",2008,806.45
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Preah Vihear,Female,"Per 100,000 live births",2008,476.33
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Prey Veng,Female,"Per 100,000 live births",2008,613.66
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Pursat,Female,"Per 100,000 live births",2008,269.49
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Ratanak Kiri,Female,"Per 100,000 live births",2008,1441.73
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Siemreap,Female,"Per 100,000 live births",2008,366.0
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Stung Treng,Female,"Per 100,000 live births",2008,423.53
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Svay Rieng,Female,"Per 100,000 live births",2008,558.84
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.2.1 Maternal mortality ratio (MMR),Takeo,Female,"Per 100,000 live births",2008,568.85
