Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Time period details,Value
2019,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Female,,Years,2019,76.8
1998,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Male,,Years,2019,54.4
2000,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Male,,Years,2019,60.6
2001,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Male,,Years,2019,61.3
2002,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Male,,Years,2019,62.0
2003,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Male,,Years,2019,62.7
2004,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Male,,Years,2019,63.4
2005,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Male,,Years,2019,64.1
2006,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Male,,Years,2019,64.9
2007,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Male,,Years,2019,65.6
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Male,,Years,2019,60.5
2009,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Male,,Years,2019,61.4
2010,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Male,,Years,2019,62.3
2011,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Male,,Years,2019,63.1
2012,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Male,,Years,2019,64.0
2013,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Male,,Years,2019,64.8
2014,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Male,,Years,2019,65.6
2015,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Male,,Years,2019,66.4
2016,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Male,,Years,2019,67.1
2017,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Male,,Years,2019,67.9
2018,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Male,,Years,2019,68.6
2019,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Male,,Years,2019,74.3
1998,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,,,Years,2019,56.3
2000,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,,,Years,2019,57.5
2001,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,,,Years,2019,58.2
2002,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,,,Years,2019,58.9
2003,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,,,Years,2019,59.6
2004,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,,,Years,2019,60.3
2005,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,,,Years,2019,61.0
2006,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,,,Years,2019,61.7
2007,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,,,Years,2019,62.4
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,,,Years,2019,62.4
2009,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,,,Years,2019,63.8
2010,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,,,Years,2019,64.5
2011,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,,,Years,2019,65.2
2012,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,,,Years,2019,66.7
2013,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,,,Years,2019,67.6
2014,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,,,Years,2019,68.3
2015,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,,,Years,2019,69.1
2016,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,,,Years,2019,69.9
2017,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,,,Years,2019,70.6
2018,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,,,Years,2019,70.6
2019,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,,,Years,2019,75.5
1998,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,,Urban,Years,2019,60.0
2019,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,,Urban,Years,2019,75.6
1998,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,,Rural,Years,2019,55.8
2019,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,,Rural,Years,2019,74.5
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Banteay Meanchey,Female,,Years,2008,67.9
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Banteay Meanchey,Male,,Years,2008,64.0
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Banteay Meanchey,,,Years,2008,65.9
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Battambang,Female,,Years,2008,67.2
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Battambang,Male,,Years,2008,63.3
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Battambang,,,Years,2008,65.2
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Kampong Cham,Female,,Years,2008,66.7
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Kampong Cham,Male,,Years,2008,62.9
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Kampong Cham,,,Years,2008,64.8
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Kampong Chhnang,Female,,Years,2008,68.6
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Kampong Chhnang,Male,,Years,2008,64.7
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Kampong Chhnang,,,Years,2008,66.6
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Kampong Speu,Female,,Years,2008,63.8
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Kampong Speu,Male,,Years,2008,60.0
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Kampong Speu,,,Years,2008,61.8
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Kampong Thom,Female,,Years,2008,64.7
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Kampong Thom,Male,,Years,2008,60.9
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Kampong Thom,,,Years,2008,62.8
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Kampot,Female,,Years,2008,62.1
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Kampot,Male,,Years,2008,58.5
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Kampot,,,Years,2008,60.2
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Kandal,Female,,Years,2008,67.1
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Kandal,Male,,Years,2008,63.2
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Kandal,,,Years,2008,65.1
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Kep,Female,,Years,2008,65.0
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Kep,Male,,Years,2008,61.2
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Kep,,,Years,2008,63.0
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Koh Kong,Female,,Years,2008,60.9
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Koh Kong,Male,,Years,2008,57.3
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Koh Kong,,,Years,2008,59.1
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Kratie,Female,,Years,2008,60.5
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Kratie,Male,,Years,2008,57.0
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Kratie,,,Years,2008,58.7
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Mondul Kiri,Female,,Years,2008,45.5
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Mondul Kiri,Male,,Years,2008,52.5
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Mondul Kiri,,,Years,2008,44.0
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Oddar Meanchey,Female,,Years,2008,60.8
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Oddar Meanchey,Male,,Years,2008,57.2
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Oddar Meanchey,,,Years,2008,59.0
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Pailin,Female,,Years,2008,64.2
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Pailin,Male,,Years,2008,60.4
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Pailin,,,Years,2008,62.3
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Phnom Penh,Female,,Years,2008,70.8
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Phnom Penh,Male,,Years,2008,66.8
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Phnom Penh,,,Years,2008,68.8
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Preah Sihanouk,Female,,Years,2008,54.4
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Preah Sihanouk,Male,,Years,2008,51.3
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Preah Sihanouk,,,Years,2008,52.8
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Preah Vihear,Female,,Years,2008,43.4
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Preah Vihear,Male,,Years,2008,40.5
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Preah Vihear,,,Years,2008,41.9
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Prey Veng,Female,,Years,2008,65.7
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Prey Veng,Male,,Years,2008,61.9
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Prey Veng,,,Years,2008,63.8
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Pursat,Female,,Years,2008,65.1
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Pursat,Male,,Years,2008,61.4
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Pursat,,,Years,2008,63.2
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Ratanak Kiri,Female,,Years,2008,35.0
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Ratanak Kiri,Male,,Years,2008,32.5
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Ratanak Kiri,,,Years,2008,33.7
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Siemreap,Female,,Years,2008,70.0
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Siemreap,Male,,Years,2008,66.1
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Siemreap,,,Years,2008,68.7
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Stung Treng,Female,,Years,2008,54.6
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Stung Treng,Male,,Years,2008,51.5
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Stung Treng,,,Years,2008,53.0
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Svay Rieng,Female,,Years,2008,58.8
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Svay Rieng,Male,,Years,2008,55.3
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Svay Rieng,,,Years,2008,57.0
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Takeo,Female,,Years,2008,64.3
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Takeo,Male,,Years,2008,60.5
2008,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Takeo,,,Years,2008,62.4
2019,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Female,Urban,Years,2019,77.7
2019,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Female,Rural,Years,2019,76.4
2019,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Male,Rural,Years,2019,72.8
2019,Normal value,Units,Country Data,"MoP, NIS_General Population Census of Cambodia",Annual,National,3.1.1 Life expectancy at birth,Cambodia,Male,Urban,Years,2019,73.5
