Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Time period details,Value
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Kampong Thom,,Percent,2014,47.7
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Kampong Thom,,Percent,2014,80.4
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Kandal,,Percent,2014,53.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Kandal,,Percent,2014,73.5
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Kandal,,Percent,2014,87.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Kandal,,Percent,2014,95.7
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Koh Kong,,Percent,2000,30.6
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Kratie,,Percent,2014,28.6
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Kratie,,Percent,2014,44.4
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Kratie,,Percent,2014,51.9
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Oddar Meanchey,,Percent,2014,15.2
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Oddar Meanchey,,Percent,2014,64.4
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Oddar Meanchey,,Percent,2014,88.7
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Phnom Penh,,Percent,2014,88.9
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Phnom Penh,,Percent,2014,86.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Phnom Penh,,Percent,2014,98.8
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Phnom Penh,,Percent,2014,96.1
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Prey Veng,,Percent,2014,25.3
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Prey Veng,,Percent,2014,28.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Prey Veng,,Percent,2014,59.2
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Prey Veng,,Percent,2014,97.6
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Pursat,,Percent,2014,19.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Pursat,,Percent,2014,31.7
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Pursat,,Percent,2014,73.9
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Pursat,,Percent,2014,86.1
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Siemreap,,Percent,2014,28.6
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Siemreap,,Percent,2014,72.7
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Siemreap,,Percent,2014,93.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Svay Rieng,,Percent,2014,22.4
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Svay Rieng,,Percent,2014,28.9
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Svay Rieng,,Percent,2014,89.6
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Svay Rieng,,Percent,2014,94.3
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Takeo,,Percent,2014,39.5
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Takeo,,Percent,2014,62.1
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Takeo,,Percent,2014,85.4
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Takeo,,Percent,2014,97.4
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Battambang and Pailin,,Percent,2014,44.7
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Battambang and Pailin,,Percent,2014,59.3
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Battambang and Pailin,,Percent,2014,78.1
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Battambang and Pailin,,Percent,2014,94.1
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,"Kampot, Preah Sihanouk and Kep",,Percent,2000,30.8
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,"Kratie, Preah Vihear and Stung Treng",,Percent,2000,40.5
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Mondul Kiri and Ratanak Kiri,,Percent,2014,14.2
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Mondul Kiri and Ratanak Kiri,,Percent,2014,13.7
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Mondul Kiri and Ratanak Kiri,,Percent,2014,38.4
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Mondul Kiri and Ratanak Kiri,,Percent,2014,53.6
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Otdar Meanchey and Siem Reap,,Percent,2000,12.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Kampot and Kep,,Percent,2014,41.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Kampot and Kep,,Percent,2014,66.5
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Kampot and Kep,,Percent,2014,90.5
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Koh Kong and Preah Sihanouk,,Percent,2014,57.1
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Koh Kong and Preah Sihanouk,,Percent,2014,79.2
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Koh Kong and Preah Sihanouk,,Percent,2014,97.5
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Preah Vihear and Stung Treng,,Percent,2014,12.9
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Preah Vihear and Stung Treng,,Percent,2014,28.2
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Preah Vihear and Stung Treng,,Percent,2014,54.6
