Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,UNIT_MEASURE,Time period details,Value
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Banteay Meanchey,,under 5 years old,,,Percent,2014,28.6
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Cham,,under 5 years old,,,Percent,2014,48.2
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Cham,,under 5 years old,,,Percent,2014,37.2
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Cham,,under 5 years old,,,Percent,2014,46.9
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Cham,,under 5 years old,,,Percent,2014,33.5
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Chhnang,,under 5 years old,,,Percent,2014,45.9
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Chhnang,,under 5 years old,,,Percent,2014,37.3
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Chhnang,,under 5 years old,,,Percent,2014,40.3
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Chhnang,,under 5 years old,,,Percent,2014,42.8
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Speu,,under 5 years old,,,Percent,2014,44.5
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Speu,,under 5 years old,,,Percent,2014,36.6
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Speu,,under 5 years old,,,Percent,2014,42.1
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Speu,,under 5 years old,,,Percent,2014,40.5
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Thom,,under 5 years old,,,Percent,2014,47.2
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Thom,,under 5 years old,,,Percent,2014,41.1
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Thom,,under 5 years old,,,Percent,2014,49.9
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Thom,,under 5 years old,,,Percent,2014,36.4
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kandal,,under 5 years old,,,Percent,2014,46.2
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kandal,,under 5 years old,,,Percent,2014,26.8
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kandal,,under 5 years old,,,Percent,2014,34.9
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kandal,,under 5 years old,,,Percent,2014,28.1
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Koh Kong,,under 5 years old,,,Percent,2000,55.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kratie,,under 5 years old,,,Percent,2014,37.1
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kratie,,under 5 years old,,,Percent,2014,47.6
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kratie,,under 5 years old,,,Percent,2014,38.4
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Oddar Meanchey,,under 5 years old,,,Percent,2014,47.3
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Oddar Meanchey,,under 5 years old,,,Percent,2014,39.6
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Oddar Meanchey,,under 5 years old,,,Percent,2014,36.3
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Phnom Penh,,under 5 years old,,,Percent,2014,22.6
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Phnom Penh,,under 5 years old,,,Percent,2014,22.3
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Phnom Penh,,under 5 years old,,,Percent,2014,25.1
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Phnom Penh,,under 5 years old,,,Percent,2014,17.9
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Prey Veng,,under 5 years old,,,Percent,2014,51.2
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Prey Veng,,under 5 years old,,,Percent,2014,38.3
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Prey Veng,,under 5 years old,,,Percent,2014,34.6
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Prey Veng,,under 5 years old,,,Percent,2014,32.7
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Pursat,,under 5 years old,,,Percent,2014,46.3
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Pursat,,under 5 years old,,,Percent,2014,61.6
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Pursat,,under 5 years old,,,Percent,2014,44.8
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Pursat,,under 5 years old,,,Percent,2014,38.8
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Siemreap,,under 5 years old,,,Percent,2014,53.3
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Siemreap,,under 5 years old,,,Percent,2014,50.3
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Siemreap,,under 5 years old,,,Percent,2014,35.9
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Svay Rieng,,under 5 years old,,,Percent,2014,51.3
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Svay Rieng,,under 5 years old,,,Percent,2014,35.4
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Svay Rieng,,under 5 years old,,,Percent,2014,31.2
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Svay Rieng,,under 5 years old,,,Percent,2014,32.8
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Takeo,,under 5 years old,,,Percent,2014,42.1
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Takeo,,under 5 years old,,,Percent,2014,38.5
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Takeo,,under 5 years old,,,Percent,2014,41.3
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Takeo,,under 5 years old,,,Percent,2014,30.7
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Battambang and Pailin,,under 5 years old,,,Percent,2014,36.3
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Battambang and Pailin,,under 5 years old,,,Percent,2014,36.2
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Battambang and Pailin,,under 5 years old,,,Percent,2014,26.5
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Battambang and Pailin,,under 5 years old,,,Percent,2014,24.9
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,"Kampot, Preah Sihanouk and Kep",,under 5 years old,,,Percent,2000,43.4
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,"Kratie, Preah Vihear and Stung Treng",,under 5 years old,,,Percent,2000,51.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Mondul Kiri and Ratanak Kiri,,under 5 years old,,,Percent,2014,55.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Mondul Kiri and Ratanak Kiri,,under 5 years old,,,Percent,2014,54.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Mondul Kiri and Ratanak Kiri,,under 5 years old,,,Percent,2014,54.9
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Mondul Kiri and Ratanak Kiri,,under 5 years old,,,Percent,2014,39.8
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Otdar Meanchey and Siem Reap,,under 5 years old,,,Percent,2000,50.7
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampot and Kep,,under 5 years old,,,Percent,2014,28.2
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampot and Kep,,under 5 years old,,,Percent,2014,43.4
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampot and Kep,,under 5 years old,,,Percent,2014,25.2
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Koh Kong and Preah Sihanouk,,under 5 years old,,,Percent,2014,36.8
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Koh Kong and Preah Sihanouk,,under 5 years old,,,Percent,2014,41.8
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Koh Kong and Preah Sihanouk,,under 5 years old,,,Percent,2014,33.4
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Preah Vihear and Stung Treng,,under 5 years old,,,Percent,2014,42.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Preah Vihear and Stung Treng,,under 5 years old,,,Percent,2014,56.4
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Preah Vihear and Stung Treng,,under 5 years old,,,Percent,2014,44.3
