Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,UNIT_MEASURE,Time period details,Value
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 month old,Urban,,Per 100 live births,2014,11.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 month old,Urban,,Per 100 live births,2014,10.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 month old,Rural,,Per 100 live births,2014,40.9
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 month old,Rural,,Per 100 live births,2014,37.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 month old,Rural,,Per 100 live births,2014,35.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 month old,Rural,,Per 100 live births,2014,23.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 year old,,,Per 100 live births,2014,37.3
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 year old,,,Per 100 live births,2014,28.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 year old,,,Per 100 live births,2014,27.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 year old,,,Per 100 live births,2014,18.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 year old,,Quintile 1 (poorest),Per 100 live births,2014,34.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 year old,,Quintile 1 (poorest),Per 100 live births,2014,39.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 year old,,Quintile 1 (poorest),Per 100 live births,2014,27.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 year old,,Quintile 2,Per 100 live births,2014,45.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 year old,,Quintile 2,Per 100 live births,2014,34.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 year old,,Quintile 2,Per 100 live births,2014,23.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 year old,,Quintile 3,Per 100 live births,2014,38.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 year old,,Quintile 3,Per 100 live births,2014,35.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 year old,,Quintile 3,Per 100 live births,2014,24.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 year old,,Quintile 4,Per 100 live births,2014,38.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 year old,,Quintile 4,Per 100 live births,2014,26.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 year old,,Quintile 4,Per 100 live births,2014,18.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 year old,,Quintile 5 (richest),Per 100 live births,2014,22.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 year old,,Quintile 5 (richest),Per 100 live births,2014,16.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 year old,,Quintile 5 (richest),Per 100 live births,2014,12.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 year old,Urban,,Per 100 live births,2014,27.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 year old,Urban,,Per 100 live births,2014,29.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 year old,Urban,,Per 100 live births,2014,11.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 year old,Urban,,Per 100 live births,2014,10.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 year old,Rural,,Per 100 live births,2014,40.9
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 year old,Rural,,Per 100 live births,2014,37.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 year old,Rural,,Per 100 live births,2014,35.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 year old,Rural,,Per 100 live births,2014,23.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Banteay Meanchey,,under 1 month old,,,Per 100 live births,2014,31.4
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Banteay Meanchey,,under 1 month old,,,Per 100 live births,2014,34.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Banteay Meanchey,,under 1 month old,,,Per 100 live births,2014,26.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Banteay Meanchey,,under 1 month old,,,Per 100 live births,2014,20.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Kampong Cham,,under 1 month old,,,Per 100 live births,2014,38.7
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Kampong Cham,,under 1 month old,,,Per 100 live births,2014,35.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Kampong Cham,,under 1 month old,,,Per 100 live births,2014,33.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Kampong Cham,,under 1 month old,,,Per 100 live births,2014,25.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Kampong Chhnang,,under 1 month old,,,Per 100 live births,2014,41.9
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Kampong Chhnang,,under 1 month old,,,Per 100 live births,2014,36.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Kampong Chhnang,,under 1 month old,,,Per 100 live births,2014,45.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Kampong Chhnang,,under 1 month old,,,Per 100 live births,2014,27.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Kampong Speu,,under 1 month old,,,Per 100 live births,2014,26.4
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Kampong Speu,,under 1 month old,,,Per 100 live births,2014,41.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Kampong Speu,,under 1 month old,,,Per 100 live births,2014,39.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Kampong Speu,,under 1 month old,,,Per 100 live births,2014,19.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Kampong Thom,,under 1 month old,,,Per 100 live births,2014,38.8
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Kampong Thom,,under 1 month old,,,Per 100 live births,2014,38.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Kampong Thom,,under 1 month old,,,Per 100 live births,2014,29.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Kampong Thom,,under 1 month old,,,Per 100 live births,2014,29.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Kandal,,under 1 month old,,,Per 100 live births,2014,38.8
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Kandal,,under 1 month old,,,Per 100 live births,2014,30.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Kandal,,under 1 month old,,,Per 100 live births,2014,34.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Kandal,,under 1 month old,,,Per 100 live births,2014,17.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Koh Kong,,under 1 month old,,,Per 100 live births,2000,31.5
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Kratie,,under 1 month old,,,Per 100 live births,2014,37.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Kratie,,under 1 month old,,,Per 100 live births,2014,47.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Kratie,,under 1 month old,,,Per 100 live births,2014,30.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Oddar Meanchey,,under 1 month old,,,Per 100 live births,2014,19.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Oddar Meanchey,,under 1 month old,,,Per 100 live births,2014,20.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Oddar Meanchey,,under 1 month old,,,Per 100 live births,2014,17.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Phnom Penh,,under 1 month old,,,Per 100 live births,2014,14.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Phnom Penh,,under 1 month old,,,Per 100 live births,2014,24.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Phnom Penh,,under 1 month old,,,Per 100 live births,2014,8.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Phnom Penh,,under 1 month old,,,Per 100 live births,2014,13.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Prey Veng,,under 1 month old,,,Per 100 live births,2014,52.4
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Prey Veng,,under 1 month old,,,Per 100 live births,2014,52.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Prey Veng,,under 1 month old,,,Per 100 live births,2014,34.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Prey Veng,,under 1 month old,,,Per 100 live births,2014,33.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Pursat,,under 1 month old,,,Per 100 live births,2014,51.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Pursat,,under 1 month old,,,Per 100 live births,2014,27.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Pursat,,under 1 month old,,,Per 100 live births,2014,29.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Pursat,,under 1 month old,,,Per 100 live births,2014,14.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Siemreap,,under 1 month old,,,Per 100 live births,2014,34.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Siemreap,,under 1 month old,,,Per 100 live births,2014,28.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Siemreap,,under 1 month old,,,Per 100 live births,2014,17.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Svay Rieng,,under 1 month old,,,Per 100 live births,2014,56.2
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Svay Rieng,,under 1 month old,,,Per 100 live births,2014,29.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Svay Rieng,,under 1 month old,,,Per 100 live births,2014,27.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Svay Rieng,,under 1 month old,,,Per 100 live births,2014,20.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Takeo,,under 1 month old,,,Per 100 live births,2014,38.4
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Takeo,,under 1 month old,,,Per 100 live births,2014,52.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Takeo,,under 1 month old,,,Per 100 live births,2014,37.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Takeo,,under 1 month old,,,Per 100 live births,2014,16.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Battambang and Pailin,,under 1 month old,,,Per 100 live births,2014,38.3
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Battambang and Pailin,,under 1 month old,,,Per 100 live births,2014,29.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Battambang and Pailin,,under 1 month old,,,Per 100 live births,2014,28.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Battambang and Pailin,,under 1 month old,,,Per 100 live births,2014,12.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,"Kampot, Preah Sihanouk and Kep",,under 1 month old,,,Per 100 live births,2000,42.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,"Kratie, Preah Vihear and Stung Treng",,under 1 month old,,,Per 100 live births,2000,25.9
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Mondul Kiri and Ratanak Kiri,,under 1 month old,,,Per 100 live births,2014,79.8
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Mondul Kiri and Ratanak Kiri,,under 1 month old,,,Per 100 live births,2014,56.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Mondul Kiri and Ratanak Kiri,,under 1 month old,,,Per 100 live births,2014,30.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Mondul Kiri and Ratanak Kiri,,under 1 month old,,,Per 100 live births,2014,36.0
